Student_ID,skills,qualification,experience_level,job_role
STU0001,"Python, SQL, TensorFlow, Machine Learning, Communication",Master's in Data Science,Senior,Data Scientist
STU0002,"HTML, CSS, JavaScript, React, Teamwork",Bachelor's in Computer Science,Mid,Frontend Developer
STU0003,"Java, Spring, SQL, REST APIs, Problem Solving",Bachelor's in Software Engineering,Senior,Backend Developer
STU0004,"Figma, Adobe XD, UI/UX Design, Creativity",Bachelor's in Design,Entry,Designer
STU0005,"Python, Django, JavaScript, React, Agile",Master's in Computer Science,Mid,Full Stack Python Developer
STU0006,"Financial Modeling, Excel, Communication, Risk Analysis",Master's in Finance,Senior,Finance
STU0007,"C++, Unreal Engine, Game Design, Teamwork",Bachelor's in Game Development,Mid,Game Developer
STU0008,"Kubernetes, Docker, AWS, CI/CD, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0009,"Java, Spring Boot, Hibernate, Microservices",Bachelor's in Software Engineering,Mid,Full Stack Java Developer
STU0010,"Solidity, Ethereum, JavaScript, Blockchain",Bachelor's in Computer Science,Entry,Blockchain Developer
STU0011,"Marketing Strategy, SEO, Content Creation, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0012,"Recruitment, HR Policies, Communication, Leadership",Master's in Human Resources,Senior,HR
STU0013,"C#, .NET, SQL, ASP.NET",Bachelor's in Computer Science,Mid,C# Developer
STU0014,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0015,"Swift, iOS Development, Objective-C, UI/UX",Bachelor's in Computer Science,Mid,Mobile Developer
STU0016,"Network Security, Penetration Testing, Firewalls",Bachelor's in Cybersecurity,Senior,Cybersecurity Engineer
STU0017,"Agile, Scrum, Project Management, Leadership",Master's in Business Administration,Senior,Software Project Manager
STU0018,"C++, Unity, Game Design, 3D Modeling",Bachelor's in Game Development,Entry,Video Game Designer
STU0019,"Python, Pandas, SQL, Data Visualization",Master's in Data Science,Mid,Data Analyst
STU0020,"Kubernetes, Helm, AWS, Terraform",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
STU0021,"HTML, CSS, JavaScript, Node.js, MongoDB",Bachelor's in Computer Science,Mid,Web Developer
STU0022,"Python, Machine Learning, Deep Learning, NLP",PhD in Artificial Intelligence,Senior,AIML
STU0023,"Java, Android Development, Kotlin, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
STU0024,"Python, Flask, JavaScript, PostgreSQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
STU0025,"Java, Spring, Angular, Microservices",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0026,"Adobe Illustrator, Photoshop, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
STU0027,"SQL, Tableau, Data Analysis, Statistics",Bachelor's in Statistics,Entry,Data Analyst
STU0028,"C#, Unity, Game Physics, 3D Modeling",Bachelor's in Game Development,Mid,Game Developer
STU0029,"AWS, Jenkins, Docker, Ansible",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0030,"PHP, WordPress, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0031,"Python, TensorFlow, Keras, Data Science",Master's in Data Science,Mid,   
STU0032,"Blockchain, Smart Contracts, Solidity, Web3",Bachelor's in Computer Science,Senior, 
STU0033,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid, 
STU0034, ,Bachelor's in Software Engineering,Senior, 
STU0035,"Digital Marketing, Google Analytics, SEO, PPC",Bachelor's in Marketing,Mid,Marketing
STU0036,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
STU0037,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
STU0038,"Swift, iOS, Xcode, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
STU0039,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0040,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
STU0041,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
